trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
18	0	fast	0.5	0.6	left	80	0.40421	0.33371	1.4382	0.86014	1.8225	5.7854	n/a
19	1	fast	0.7	0.6	right	79	0.40694	0.33441	1.6405	0.86014	2.0278	5.9883	n/a
20	1	fast	0.5	0.7	right	79	0.53105	0.33304	1.5379	0.86014	2.0484	5.8843	n/a
21	1	fast	0.7	0.4	right	79	0.44339	0.33447	1.4413	0.86014	1.8626	5.787	n/a
22	1	fast	0.7	0.6	right	79	0.51785	0.3339	1.6383	0.86014	2.1382	5.9874	n/a
23	1	fast	0.4	0.6	right	79	0.41653	0.33294	1.3373	0.86014	1.7338	5.6851	n/a
24	1	fast	0.3	0.4	right	79	0.42006	0.33331	1.0375	0.86014	1.437	5.3843	n/a
25	0	fast	0.5	0.4	left	80	0.51492	0.33453	1.2403	0.86014	1.735	5.5875	n/a
26	1	fast	0.6	0.3	right	79	0.5095	0.35012	1.2382	0.86014	1.7274	5.586	n/a
27	1	fast	0.5	0.3	right	79	0.39304	0.35018	1.1394	0.86014	1.5114	5.4864	n/a
28	1	fast	0.5	0.3	right	79	0.5745	0.33301	1.1384	0.86014	1.6928	5.4863	n/a
29	1	fast	0.5	0.3	right	79	0.40784	0.33211	1.1357	0.86014	1.5259	5.4856	n/a
30	0	fast	0.5	0.3	left	80	0.36498	0.33339	1.1385	0.86014	1.4828	5.4858	n/a
31	0	fast	0.5	0.5	left	80	0.56363	0.33253	1.3401	0.86014	1.8819	5.6863	n/a
32	1	fast	0.6	0.3	right	79	0.4382	0.33283	1.2382	0.86014	1.6561	5.5861	n/a
33	0	fast	0.6	0.7	left	80	0.39309	0.33232	1.6377	0.86014	2.011	5.9859	n/a
34	0	fast	0.5	0.7	left	80	0.55164	0.34974	1.5378	0.86014	2.0695	5.8861	n/a
35	0	fast	0.4	0.3	left	80	0.41626	0.34952	1.0376	0.86014	1.4331	5.3852	n/a
36	0	fast	0.3	0.5	left	80	0.47379	0.35009	1.1387	0.86014	1.5921	5.4863	n/a
37	1	fast	0.5	0.6	right	79	0.41207	0.34928	1.4373	0.86014	1.8289	5.7884	n/a
38	0	fast	0.6	0.5	left	80	0.47853	0.34929	1.4361	0.86014	1.8941	5.784	n/a
39	1	fast	0.3	0.4	right	79	0.55932	0.34982	1.0377	0.86014	1.5767	5.3851	n/a
40	1	fast	0.3	0.5	right	79	0.53228	0.35058	1.1391	0.86014	1.6511	5.4865	n/a
41	0	fast	0.3	0.5	left	80	0.4539	0.35017	1.1369	0.86014	1.5711	5.485	n/a
42	0	fast	0.5	0.6	left	80	0.55551	0.35041	1.4398	0.86014	1.9747	5.7875	n/a
43	0	fast	0.5	0.6	left	80	0.44882	0.34844	1.4375	0.86014	1.867	5.7868	n/a
44	0	fast	0.4	0.6	left	80	0.33196	0.34811	1.3344	0.86014	1.6512	5.6873	n/a
45	1	fast	0.7	0.3	right	79	0.44432	0.34756	1.3357	0.86014	1.7592	5.6824	n/a
46	1	fast	0.6	0.4	right	79	0.53153	0.36767	1.3399	0.86014	1.8507	5.6892	n/a
47	0	fast	0.3	0.3	left	80	0.48263	0.34753	0.93376	0.86014	1.3985	5.2845	n/a
48	0	fast	0.7	0.7	left	80	0.40508	0.34878	1.7384	0.86014	2.1225	6.086	n/a
49	1	fast	0.7	0.7	right	79	0.45603	0.34922	1.7366	0.86014	2.1747	6.0897	n/a
50	0	fast	0.5	0.3	left	80	0.42116	0.37844	1.1335	0.86014	1.5349	5.4884	n/a
51	1	fast	0.5	0.5	right	79	0.42136	0.37626	1.3303	0.86014	1.7327	5.68	n/a
52	1	fast	0.4	0.5	right	79	0.56026	0.34958	1.2373	0.86014	1.7774	5.5858	n/a
53	0	fast	0.3	0.3	left	80	0.35179	0.34919	0.93606	0.86014	1.2697	5.2867	n/a
54	0	fast	0.4	0.4	left	80	0.52192	0.34884	1.1371	0.86014	1.6388	5.4854	n/a
55	1	fast	0.5	0.5	right	79	0.4216	0.34933	1.3376	0.86014	1.7389	5.686	n/a
56	1	fast	0.5	0.3	right	79	0.50511	0.36603	1.1381	0.86014	1.6225	5.4861	n/a
57	1	fast	0.4	0.3	right	79	0.50744	0.36586	1.0374	0.86014	1.5246	5.3861	n/a
58	1	fast	0.7	0.7	right	79	0.39709	0.34887	1.7374	0.86014	2.1141	6.0858	n/a
59	0	fast	0.3	0.7	left	80	0.41992	0.34908	1.3361	0.86014	1.7357	5.6847	n/a
60	1	fast	0.7	0.4	right	79	0.51942	0.35069	1.4403	0.86014	1.9393	5.789	n/a
61	1	fast	0.6	0.4	right	79	0.49189	0.36432	1.3342	0.86014	1.8084	5.6856	n/a
62	0	fast	0.5	0.7	left	80	0.47112	0.36397	1.5354	0.86014	1.9874	5.8883	n/a
63	0	fast	0.3	0.3	left	80	0.40271	0.36159	0.9338	0.86014	1.316	5.2812	n/a
64	1	fast	0.3	0.7	right	79	0.36599	0.36638	1.3374	0.86014	1.6839	5.6868	n/a
65	0	fast	0.3	0.5	left	80	0.45326	0.36628	1.1371	0.86014	1.5701	5.4857	n/a
66	1	fast	0.4	0.5	right	79	0.52463	0.36575	1.238	0.86014	1.7425	5.5871	n/a
67	1	fast	0.7	0.6	right	79	0.45793	0.36486	1.6357	0.86014	2.076	5.9867	n/a
